id byear psire pdam cdam csire sire.changed dam.changed problem sgen dgen rsire rdam
BELF000051705082 2014 NLDM000568366042 BELF000153650816 BELF000153650816 USAM000062768990 YES NO OK 1 0 USAM000062768990 BELF000153650816
BELF000051734811 2014 FRAM005940304556 BELF000387876672 BELF000387876672 BELM000228058220 YES NO OK 1 0 BELM000228058220 BELF000387876672
BELF000053844691 2015 BELM000228058220 BELF000887331933 BELF000887331933 BELM000357144072 YES NO OK 1 0 BELM000357144072 BELF000887331933
BELF000057604938 2014 ITAM017990516801 BELF000261418572 BELF000261418572 DEUM000354049610 YES NO OK 1 0 DEUM000354049610 BELF000261418572
BELF000059603625 2017 NLDM000336103596 BELF000356505009 BELF000356505009 FRAM005632667935 YES NO OK 1 0 FRAM005632667935 BELF000356505009
BELF000061636030 2019 DEUM000539782028 BELF000458379738 BELF000458379738 CANM000012074893 YES NO OK 1 0 CANM000012074893 BELF000458379738
BELF000061850516 2020 GBRM000000661561 BELF000762891469 BELF000762891469 NLDM000711611001 YES NO OK 1 1 NLDM000711611001 BELF000762891469
BELF000063671177 2018 NLDM000894608124 BELF000850631044 BELF000850631044 CANM000012208504 YES NO OK 1 0 CANM000012208504 BELF000850631044
BELF000064532620 2021 CANM000012264628 BELF000957491249 BELF000957491249 840M003138948156 YES NO OK 1 0 840M003138948156 BELF000957491249
BELF000064992442 2022 FRAM003511872727 BELF000861898639 BELF000861583601 840M003209641351 YES YES OK 1 1 840M003209641351 BELF000861583601
BELF000127426941 2011 USAM000137959538 BELF000965824803 BELF000965824803 USAM000061898306 YES NO OK 1 0 USAM000061898306 BELF000965824803
BELF000156455117 2015 USAM000065689792 BELF000957106336 BELF000957106336 USAM000138851507 YES NO OK 1 0 USAM000138851507 BELF000957106336
BELF000157521890 2013 FRAM006114278366 BELF000187714543 BELF000187714543 FRAM002214546301 YES NO OK 1 0 FRAM002214546301 BELF000187714543
BELF000158636570 2016 DEUM000355203353 BELF000157632263 BELF000157632263 FRAM006950587963 YES NO OK 1 0 FRAM006950587963 BELF000157632263
BELF000158768907 2016 CANM000104854291 BELF000087830673 BELF000087830673 USAM000072436764 YES NO OK 1 0 USAM000072436764 BELF000087830673
BELF000164253144 2020 CANM000012074893 BELF000463720052 BELF000463720052 DEUM000539782028 YES NO OK 1 1 DEUM000539782028 BELF000463720052
BELF000164451304 2021 840M003138948156 BELF000664106941 BELF000664106941 840M003141608165 YES NO OK 1 0 840M003141608165 BELF000664106941
BELF000164609351 2021 NLDM000597646670 BELF000363813257 BELF000861583601 CANM000012189047 YES YES OK 1 1 CANM000012189047 BELF000861583601
BELF000164936802 2021 USAM000073519358 BELF000056784830 BELF000056784830 CANM000107559777 YES NO OK 1 0 CANM000107559777 BELF000056784830
BELF000164992447 2022 840M003209641351 BELF000261583621 BELF000361583626 CANM000012189047 YES YES OK 1 1 CANM000012189047 BELF000361583626
BELF000166047061 2022 840M003132353302 BELF000760909150 BELF000161903450 840M003125993715 YES YES OK 1 1 840M003125993715 BELF000161903450
BELF000166132304 2022 840M003205436197 BELF000058710143 BELF000861784317 BELM000158379751 YES YES OK 1 1 BELM000158379751 BELF000861784317
BELF000166176044 2023 CANM000110807391 BELF000661580232 BELF000961580205 CANM000110807391 NO YES OK 0 1 CANM000110807391 BELF000961580205
BELF000166176045 2023 840M003208357105 BELF000961580205 BELF000661580232 840M003208357105 NO YES OK 0 1 840M003208357105 BELF000661580232
BELF000166359542 2023 840M003132353302 BELF000164308092 BELF000164308092 840M003209641351 YES NO OK 1 0 840M003209641351 BELF000164308092
BELF000167677497 2022 840M003215425311 BELF000861929131 BELF000861929131 840M003209641351 YES NO OK 1 1 840M003209641351 BELF000861929131
BELF000228084820 2019 840M003132417775 BELF000752658718 BELF000752658718 NLDM000661726527 YES NO OK 1 0 NLDM000661726527 BELF000752658718
BELF000253820518 2015 CANM000107559777 BELF000557167222 BELF000557167222 USAM000138851507 YES NO OK 1 0 USAM000138851507 BELF000557167222
BELF000256649619 2015 GBRM000000642262 BELF000353657313 BELF000353657313 USAM000071494672 YES NO OK 1 0 USAM000071494672 BELF000353657313
BELF000258666353 2016 840M003010354192 BELF000757274558 BELF000757274558 CANM000011104016 YES NO OK 1 0 CANM000011104016 BELF000757274558
BELF000261720072 2018 NLDM000746035111 BELF000051705129 BELF000826130449 NLDM000746035111 NO YES OK 0 1 NLDM000746035111 BELF000826130449
BELF000263550874 2019 ESPM009201032611 BELF000762903376 BELF000556715575 FRAM002229184217 YES YES OK 1 1 FRAM002229184217 BELF000556715575
BELF000263879199 2019 840M003125993715 BELF000958345559 BELF000958345559 FRAM006414474240 YES NO OK 1 0 FRAM006414474240 BELF000958345559
BELF000264281046 2021 NLDM000561651390 BELF000561792234 BELF000561792234 840M003139851226 YES NO OK 1 1 840M003139851226 BELF000561792234
BELF000264532650 2021 840M003125993715 BELF000058634374 BELF000058634374 DEUM000122835602 YES NO OK 1 0 DEUM000122835602 BELF000058634374
BELF000352658835 2014 FINM000000096418 BELF000257136031 BELF000257136031 NLDM000475750563 YES NO OK 1 1 NLDM000475750563 BELF000257136031
BELF000356737626 2016 BELM000165614143 BELF000387876672 BELF000387876672 BELM000155817416 YES NO OK 1 0 BELM000155817416 BELF000387876672
BELF000358666361 2016 NLDM000475750563 BELF000957493129 BELF000957493129 USAM000066382657 YES NO OK 1 0 USAM000066382657 BELF000957493129
BELF000358768906 2016 CANM000104854291 BELF000750669723 BELF000750669723 USAM000072436764 YES NO OK 1 0 USAM000072436764 BELF000750669723
BELF000361517920 2018 NLDM000894608124 BELF000160782338 BELF000160782338 NLDM000546483691 YES NO OK 1 0 NLDM000546483691 BELF000160782338
BELF000361601574 2019 FRAM002229184217 BELF000457647415 BELF000556531950 NLDM000899849362 YES YES OK 1 1 NLDM000899849362 BELF000556531950
BELF000364490231 2021 840M003139851226 BELF000264376030 BELF000264376030 840M003138948156 YES NO OK 1 0 840M003138948156 BELF000264376030
BELF000364612649 2021 NLDM000762042012 BELF000963861479 BELF000963861479 BELM000858534379 YES NO OK 1 0 BELM000858534379 BELF000963861479
BELF000366614608 2023 DNKM000000257840 BELF000764444489 BELF000764444489 840M003209641351 YES NO OK 1 0 840M003209641351 BELF000764444489
BELF000451729296 2014 CANM000009732062 BELF000326813148 BELF000326813148 ITAM017990915143 YES NO OK 1 0 ITAM017990915143 BELF000326813148
BELF000456072718 2015 CANM000104854291 BELF000857135389 BELF000857135389 USAM000140145553 YES NO OK 1 0 USAM000140145553 BELF000857135389
BELF000456505020 2015 NLDM000268923802 BELF000026379484 BELF000026379484 CANM000101431985 YES NO OK 1 0 CANM000101431985 BELF000026379484
BELF000456649621 2015 CANM000011761809 BELF000857747446 BELF000857747446 USAM000071088720 YES NO OK 1 0 USAM000071088720 BELF000857747446
BELF000458525720 2016 NLDM000762769560 BELF000387515622 BELF000387515622 BELM000155817416 YES NO OK 1 0 BELM000155817416 BELF000387515622
BELF000458929567 2017 CANM000104854291 BELF000458267344 BELF000458267344 GBRM000000642262 YES NO OK 1 0 GBRM000000642262 BELF000458267344
BELF000459603637 2017 840M003129015989 BELF000256505021 BELF000256505021 USAM000072156794 YES NO OK 1 0 USAM000072156794 BELF000256505021
BELF000461920688 2021 BELM000158659977 BELF000363735014 BELF000162914611 BELM000158659977 NO YES OK 0 1 BELM000158659977 BELF000162914611
BELF000463735019 2019 BELM000211856902 BELF000752557646 BELF000452557611 GBRM000000631308 YES YES OK 1 1 GBRM000000631308 BELF000452557611
BELF000464520495 2022 DEUM000539590548 BELF000163760156 BELF000563760140 DEUM000539590548 NO YES OK 1 1 DEUM000539590548 BELF000563760140
BELF000466420815 2023 DEUM000770555951 BELF000761903461 BELF000761903461 840M003132352462 YES NO OK 1 0 840M003132352462 BELF000761903461
BELF000556072709 2015 CANM000104854291 BELF000153712569 BELF000153712569 CANM000007927543 YES NO OK 1 0 CANM000007927543 BELF000153712569
BELF000556649626 2015 CANM000011761809 BELF000457747434 BELF000457747434 USAM000071088720 YES NO OK 1 0 USAM000071088720 BELF000457747434
BELF000558768905 2016 CANM000104854291 BELF000150669694 BELF000150669694 ITAM017990516801 YES NO OK 1 0 ITAM017990516801 BELF000150669694
BELF000560932185 2019 BELM000155817416 BELF000456711535 BELF000456711535 BELM000456153928 YES NO OK 1 0 BELM000456153928 BELF000456711535
BELF000561717467 2016 GBRM000000631308 BELF000926130457 BELF000926130457 NLDM000498938423 YES NO OK 1 0 NLDM000498938423 BELF000926130457
BELF000562939635 2018 CANM000107567492 BELF000956324116 BELF000956324116 USAM000072156794 YES NO OK 1 0 USAM000072156794 BELF000956324116
BELF000562939733 2018 840M003130010426 BELF000451729296 BELF000457406292 CANM000011696704 YES YES OK 1 1 CANM000011696704 BELF000457406292
BELF000563607600 2020 840M003014562176 BELF000159351139 BELF000163643632 840M003014562176 NO YES OK 0 1 840M003014562176 BELF000163643632
BELF000564279092 2020 CANM000012731113 BELF000363821083 BELF000363821083 AUSM000H01993596 YES NO OK 1 0 AUSM000H01993596 BELF000363821083
BELF000658525747 2016 USAM000066382657 BELF000387331913 BELF000387331913 BELM000228058220 YES NO OK 1 0 BELM000228058220 BELF000387331913
BELF000659312005 2017 GBRM000000631308 BELF000151721484 BELF000151721484 DEUM000664127354 YES NO OK 1 0 DEUM000664127354 BELF000151721484
